Mall,Longitude,Latitude
Yew Tee Point,103.7465980001,1.397084324
Yew Tee Square,103.7471884865,1.3983694267
VivoCity,103.8216245804,1.2650508426
HarbourFront Centre,103.8201121717,1.2639316032
Alexandra Retail Centre,103.8013994167,1.2741489363
321 Clementi,103.7649866764,1.3120021203
The Clementi Mall,103.7647117894,1.3151619083
IMM,103.793724128,1.3021012711
JCube,103.7401870713,1.3333231255
Jem,103.7435037082,1.3330599927
Westgate,103.7429444516,1.3345992574
Jurong Point,103.7066850129,1.3394520044
Pioneer Mall,103.6972445428,1.3416733188
The Star Vista,103.7884627323,1.3068150071
Alexandra Central,103.805414652,1.2874561238
Anchorpoint,103.8050099646,1.2886146903
OD Mall,103.7935061709,1.3381692877
Boon Lay Shopping Centre,103.7124728197,1.3463737641
Grantral Mall,103.8875308277,1.3337221093
Fairprice Hub,103.6784097419,1.3256176779
Gek Poh Shopping Centre,103.6982987108,1.3487438793
Rochester Mall,103.7884466801,1.3054076557
Taman Jurong Shopping Centre,103.7204608185,1.3347642252
West Coast Plaza,103.7658583869,1.3036245753
