LatLong,nearest MRT,Count,travel time to RP in minutes
"1.40267527178479,103.903297450012",Punggol,34,55
"1.40507771619281,103.90775993572",Damai,27,58
"1.40168628797854,103.911815829329",Oasis,17,57
"1.40417216254397,103.906186058049",Damai,16,53
"1.40416431610712,103.909117742952",Damai,34,59
"1.4040520620826,103.905300204384",Punggol,15,51
"1.40377788597736,103.90576220718",Damai,24,52
"1.4042654183752,103.905894745009",Damai,14,53
"1.40437493103842,103.904784032402",Punggol,14,51
"1.40378241604129,103.897300084671",Soo Teck,41,55
"1.40252318209096,103.901295922358",Punggol,25,48
"1.40196010771339,103.901778767439",Punggol,36,50
"1.40303370918855,103.901688542522",Punggol,37,47
"1.39848070795436,103.905249752459",Cove,16,57
"1.39731946011017,103.916018571836",Kadaloor,14,60
"1.39847060510127,103.907769343307",Meridian,11,58
"1.40045544227107,103.906207948142",Cove,9,56
"1.39855735431843,103.908509049423",Meridian,20,59
"1.39317299390016,103.910055332313",Coral Edge,30,61
"1.39298792643348,103.912883071032",Coral Edge,12,57
"1.39701308622338,103.909354092412",Meridian,33,56
"1.39444866898152,103.915522366152",Riviera,12,57
"1.3985226201683,103.902111724631",Cove,17,56
"1.396731877474,103.910812912681",Meridian,14,61
"1.40064708187083,103.906006617712",Cove,11,57
"1.40013151118101,103.906647584844",Cove,9,55
"1.39908525778671,103.905471407838",Cove,14,55
"1.3968057047795,103.905054187798",Cove,20,60
"1.39917980664379,103.915006560993",Kadaloor,16,60
"1.39966422309229,103.904495606279",Cove,18,56
"1.39497731786872,103.912717529753",Coral Edge,23,60
"1.40012395686646,103.914871740477",Kadaloor,24,59
"1.39879750995963,103.915845691856",Kadaloor,20,59
"1.40146581977448,103.9121219516",Oasis,27,57
"1.40154924105211,103.903519454156",Cove,37,53
"1.39892179551942,103.909311266559",Meridian,11,61
"1.39851583178002,103.910140642146",Meridian,11,62
"1.30616047214581,103.801495664171",Commonwealth,9,30
"1.30679892406231,103.798657169107",Commonwealth,10,28
"1.30407495261872,103.79933169089",Commonwealth,17,25
"1.29151824833554,103.802513058468",Queenstown,16,28
"1.30488634425758,103.79918156237",Commonwealth,13,26
"1.29002050735811,103.80318804437",Queenstown,22,27
"1.30682219078482,103.801447113437",Commonwealth,10,30
"1.29154391563021,103.803508038366",Queenstown,38,27
"1.29225467139033,103.802856952057",Queenstown,20,26
"1.29209690708572,103.804229821165",Queenstown,42,25
"1.30711568626095,103.795264617136",Holland Village,53,33
"1.30935284651406,103.794873297267",Holland Village,54,33
"1.29375107969483,103.811956712048",Queenstown,40,29
"1.30838826045914,103.785551268112",Buona Vista,41,34
"1.31101768983656,103.791451916991",Buona Vista,19,30
"1.31105861114958,103.791886575536",Buona Vista,29,31
"1.29669615080442,103.804269469708",Queenstown,2,22
"1.29658923591676,103.804175434758",Queenstown,4,23
"1.30765453773173,103.782891219198",Dover,29,36
"1.30406012764311,103.782637200936",one-north,22,40
"1.29327264538796,103.799914659737",Queenstown,17,33
"1.29275007138267,103.799935877832",Queenstown,6,33
"1.29338294925716,103.809330719416",Queenstown,42,27
"1.30998398427407,103.792601366744",Buona Vista,24,30
"1.30774789148086,103.796627163472",Holland Village,11,30
"1.30072792288033,103.799417284922",Commonwealth,75,29
"1.30491595746286,103.782188062776",one-north,23,39
"1.30887985026284,103.784802916649",Buona Vista,50,35
"1.2945613912197,103.809692095051",Queenstown,5,26
"1.30499200291151,103.785807493097",Buona Vista,14,33
"1.29462040658733,103.80927727367",Queenstown,7,26
"1.29431742627588,103.804931843663",Queenstown,6,29
"1.45157616201366,103.81515743452",Sembawang,18,55
"1.45654601332376,103.816763883508",Sembawang,21,60
"1.45548450733921,103.816194689377",Sembawang,26,59
"1.44585216960767,103.822896239346",Sembawang,8,51
"1.44971283561317,103.824890741709",Sembawang,11,50
"1.44752926111601,103.816660875725",Sembawang,21,50
"1.44922869240593,103.81737574003",Sembawang,21,47
"1.45507803962368,103.81645291747",Sembawang,25,57
"1.45169408187552,103.821715715582",Sembawang,20,50
"1.45588056867505,103.813146773816",Sembawang,16,60
"1.45029896549211,103.819814828234",Sembawang,6,48
"1.45603699736223,103.815580869079",Sembawang,20,59
"1.45083059186955,103.814273472614",Sembawang,5,54
"1.45520102099065,103.813588634759",Sembawang,13,58
"1.44592261930976,103.82165734645",Sembawang,13,48
"1.4564743178621,103.81718135862",Sembawang,27,60
"1.45343668669671,103.818449528171",Sembawang,19,53
"1.44757636464401,103.818609770738",Sembawang,19,46
"1.44634275472687,103.820816616633",Sembawang,11,49
"1.45500467033158,103.813212087255",Sembawang,22,60
"1.45035683378178,103.825726692093",Sembawang,8,53
"1.45054091181454,103.820624275703",Sembawang,10,47
"1.45006599986269,103.818890891158",Sembawang,14,46
"1.45374132100674,103.818123782511",Sembawang,15,53
"1.4486749328363,103.814692191276",Sembawang,23,51
"1.45162631706751,103.81857298042",Sembawang,11,52
"1.45124006211956,103.819498420242",Sembawang,15,49
"1.39213828470085,103.872490555974",Fernvale,41,57
"1.3910358918062,103.906909105887",Rumbia,8,57
"1.38835481994174,103.901270877485",Bakau,16,52
"1.39260955810937,103.901592560709",Compassvale,24,56
"1.38439716664511,103.900811577122",Kangkar,10,57
"1.39624131422154,103.902632812388",Compassvale,35,55
"1.39300977764145,103.905649478832",Rumbia,14,55
"1.38753228222895,103.892967111261",Renjong,13,52
"1.38496286333898,103.898227965835",Ranggung,13,53
"1.38986875434293,103.902651026007",Bakau,10,56
"1.39134223763825,103.891903586971",Sengkang,14,49
"1.39680336272166,103.898497262093",Compassvale,20,53
"1.38829654333715,103.873546044227",Fernvale,24,63
"1.39202334402453,103.905897483327",Rumbia,16,55
"1.39139722657163,103.890466407379",Renjong,22,55
"1.39607877196847,103.89672761336",Cheng Lim,9,50
"1.39058578077811,103.891617324",Renjong,17,51
"1.3885182028847,103.891082520107",Renjong,23,53
"1.38430948653884,103.897629498821",Ranggung,21,51
"1.39109822389481,103.885761221121",Tongkang,14,55
"1.392354298139,103.906260569671",Rumbia,14,56
"1.38604163686578,103.902900571161",Kangkar,7,56
"1.3904871662738,103.899438527283",Sengkang,18,50
"1.39045415383481,103.905102917752",Rumbia,15,56
"1.3908111042137,103.885496222761",Tongkang,24,55
"1.38508719120599,103.898737047703",Ranggung,30,53
"1.38381273696568,103.898807645852",Ranggung,25,53
"1.38454735751817,103.898810019993",Ranggung,14,53
"1.38581624385594,103.900206949645",Kangkar,27,56
"1.38319999468029,103.897433235307",Ranggung,20,51
"1.39118380458731,103.873946079101",Fernvale,42,59
"1.39359978788204,103.876912987517",Fernvale,46,57
"1.39272634637625,103.876507008385",Fernvale,31,55
"1.39274604000734,103.877421746156",Fernvale,15,55
"1.38993920373878,103.876479595851",Fernvale,45,61
"1.38351198345381,103.896373988918",Ranggung,16,46
"1.38476706087905,103.895957786939",Ranggung,22,47
"1.38208859905342,103.895967834108",Ranggung,16,48
"1.38113503189067,103.896831355117",Ranggung,7,49
"1.38595588536248,103.894654799481",Buangkok,25,46
"1.38233665684196,103.894510812295",Buangkok,17,47
"1.38213716574566,103.895742316336",Buangkok,9,48
"1.38233698966981,103.893607838756",Buangkok,25,41
"1.38183345894478,103.893909396228",Buangkok,13,47
"1.3891951454752,103.888598523836",Tongkang,24,55
"1.38882291640561,103.873859040678",Fernvale,11,63
"1.3934293161425,103.905442121703",Rumbia,10,57
"1.3976389016057,103.899287408404",Compassvale,17,55
"1.38775850187872,103.907729091751",Bakau,14,58
"1.3864692312008,103.895407767764",Ranggung,22,48
"1.38617778526651,103.902618689082",Kangkar,14,56
"1.39362917030335,103.900028614253",Compassvale,10,53
"1.39094842317403,103.908612424417",Rumbia,21,58
"1.38841338018717,103.906676179338",Bakau,14,56
"1.39581664336507,103.900930171269",Compassvale,32,53
"1.39374008288861,103.903484775847",Compassvale,7,55
"1.38831311571148,103.893923639861",Sengkang,19,48
"1.39219790867034,103.898456293881",Sengkang,11,48
"1.39158552030217,103.887519934332",Tongkang,17,57
"1.38866428790221,103.900753699341",Bakau,10,51
"1.38328317106655,103.899641368712",Ranggung,18,55
"1.39386232204759,103.888540263546",Farmway,25,55
"1.38840523759899,103.891301833133",Renjong,17,53
"1.38443729931578,103.901309870914",Kangkar,8,57
"1.39290849913155,103.89067545184",Farmway,17,53
"1.39075081534736,103.897946867701",Sengkang,9,48
"1.39290277450107,103.897404571333",Sengkang,9,50
"1.39293474439618,103.896918221248",Sengkang,14,51
"1.39168319471196,103.899880323417",Compassvale,15,51
"1.38180761026047,103.900893229708",Kangkar,24,56
"1.38807961549725,103.890153139284",Renjong,23,53
"1.3945703423105,103.895105269913",Cheng Lim,14,51
"1.38825618618142,103.900017893677",Kangkar,18,51
"1.3882037089642,103.889719168414",Renjong,28,53
"1.36934726797811,103.872613997697",Kovan,12,53
"1.36847950992102,103.872662860362",Kovan,18,53
"1.3504753599142,103.876132957211",Serangoon,12,39
"1.35760697804251,103.872261070554",Serangoon,7,49
"1.35388032675518,103.872366663054",Serangoon,8,42
"1.35349356621383,103.867045529778",Lorong Chuan,20,43
"1.35086712646948,103.875343939672",Serangoon,27,39
"1.35347506410685,103.873392281903",Serangoon,22,40
"1.36562823499679,103.87183133243",Kovan,7,60
"1.3705945092529,103.875781975365",Kovan,15,55
"1.37171082447791,103.871233395667",Kovan,11,58
"1.37195725612878,103.875267195326",Kovan,13,59
"1.35647098065068,103.871126764494",Serangoon,15,46
"1.36759548630876,103.870917753447",Kovan,10,56
"1.34993696977745,103.869562944176",Serangoon,12,44
"1.37235594099349,103.870847793487",Kovan,12,59
"1.35501762599795,103.868367739693",Lorong Chuan,8,47
"1.35492978202648,103.873639912916",Serangoon,15,42
"1.35479953784915,103.869534332454",Lorong Chuan,11,46
"1.34724731259566,103.873453024365",Serangoon,11,40
"1.34665824913559,103.87290463863",Serangoon,9,41
"1.34779505728772,103.876022094599",Serangoon,12,39
"1.34920192004095,103.875859701938",Serangoon,15,37
"1.37315869132628,103.870675917707",Kovan,11,55
"1.37461946820934,103.872572636169",Fernvale,6,58
"1.35680090852309,103.873051105555",Serangoon,10,49
"1.34964853999772,103.870212188005",Serangoon,14,43
"1.35512612578152,103.872029738595",Serangoon,12,42
"1.37247361637556,103.875802118899",Kovan,13,56
"1.37360010276073,103.873890977287",Kovan,12,57
"1.36738923192236,103.873635517365",Kovan,9,55
"1.36645063269507,103.872110834899",Kovan,8,60
"1.35429542901204,103.869169644979",Lorong Chuan,15,48
"1.35425419082461,103.868542956652",Lorong Chuan,21,48
"1.35120526890578,103.867769527625",Lorong Chuan,16,44
"1.35783243904096,103.945773504554",Tampines,29,44
"1.35274328723174,103.950383574634",Tampines East,8,45
"1.35786466213391,103.947534562834",Tampines,12,46
"1.35685637450276,103.95462928453",Tampines East,7,48
"1.35304367332026,103.935965645315",Tampines,8,50
"1.34797229492491,103.93683820272",Tampines West,17,43
"1.35290528862856,103.952539174975",Tampines East,13,48
"1.35215736918662,103.935923497654",Tampines West,14,51
"1.34988127726089,103.954596296501",Tampines East,5,48
"1.34629831386768,103.94750621688",Simei,6,49
"1.35086005592172,103.952352388168",Tampines East,8,49
"1.35114990913318,103.954792487016",Tampines East,14,51
"1.35251739922331,103.931546706451",Tampines West,9,55
"1.35268528055944,103.932006515285",Tampines West,17,54
"1.34671616267656,103.945521388285",Tampines West,19,47
"1.35171755145102,103.951966044566",Tampines East,11,49
"1.35433851523618,103.950029531311",Tampines East,14,44
"1.3522154164395,103.93138588044",Tampines West,12,56
"1.34649483830586,103.936047649782",Tampines West,10,44
"1.35551796009099,103.954009189132",Tampines East,16,53
"1.35191743647505,103.952832223103",Tampines East,8,51
"1.34885277403052,103.954704571774",Simei,18,47
"1.35114569081609,103.959124538361",Tampines East,9,57
"1.35358250009189,103.935299480466",Tampines,17,51
"1.35768611954955,103.960620745568",Tampines East,13,53
"1.35764787653833,103.936890975165",Tampines,6,51
"1.35655720440891,103.93716002138",Tampines,8,51
"1.35624094879271,103.961574868162",Tampines East,5,56
"1.34801389150921,103.931916653887",Tampines West,7,51
"1.35560353232848,103.954652057339",Tampines East,6,50
"1.34681318250334,103.934887284051",Tampines West,21,45
"1.34731366588756,103.955678504969",Simei,11,42
"1.35468494629081,103.93573717832",Tampines,24,51
"1.34863107372522,103.940290409375",Tampines West,14,45
"1.34471554090859,103.953020149031",Simei,5,39
"1.35068936348009,103.933991536253",Tampines West,9,50
"1.35770234108772,103.959954453114",Tampines East,7,55
"1.35204684938015,103.933462049385",Tampines West,7,54
"1.34597336332087,103.940210611577",Tampines West,6,43
"1.35698450686671,103.935334502197",Tampines,11,53
"1.35231180472165,103.932784284108",Tampines West,12,54
"1.35617182936882,103.936798850032",Tampines,11,50
"1.35996624539325,103.951587758584",Tampines East,16,51
"1.3486918230885,103.95042750892",Simei,17,48
"1.35443550096726,103.952286197035",Tampines East,17,47
"1.34255218902353,103.95604089383",Simei,12,37
"1.34530661835845,103.953187956159",Simei,13,38
"1.34626694058524,103.955964816441",Simei,17,43
"1.35185622978388,103.932939029289",Tampines West,22,54
"1.34983189105156,103.939568613828",Tampines West,15,46
"1.3421611396727,103.950489942022",Simei,17,41
"1.34153100400286,103.956985966766",Simei,11,39
"1.35461516668329,103.947116640698",Tampines,10,41
"1.34071046807944,103.951272693025",Simei,8,39
"1.34182116705155,103.952585980598",Simei,11,39
"1.36248462928267,103.951838170127",Tampines East,14,56
"1.35126488523463,103.960941157436",Tampines East,6,57
"1.35561756499877,103.962257931593",Tampines East,11,58
"1.34535115701675,103.960120896288",Upper Changi,6,48
"1.3474951052091,103.940762770964",Tampines West,15,45
"1.35894478167474,103.937160853772",Tampines,16,54
"1.34517037107871,103.959675912667",Upper Changi,12,47
"1.35750385698395,103.937559746526",Tampines,15,51
"1.35069890623764,103.957515688038",Tampines East,16,56
"1.34346512339979,103.955448165902",Simei,13,36
"1.35323572708512,103.949946614899",Tampines East,18,44
"1.34555137331279,103.958973397945",Upper Changi,8,44
"1.35468486241786,103.936502887927",Tampines,12,50
"1.35132561986977,103.936921079502",Tampines West,13,48
"1.35696781983179,103.93866770469",Tampines,27,47
"1.34247709890668,103.958539053563",Upper Changi,14,43
"1.34273869646672,103.958976326972",Upper Changi,17,46
"1.36323870680686,103.951624679385",Tampines East,7,56
"1.34518428911075,103.949793325094",Simei,22,46
"1.34778263902831,103.931593522645",Tampines West,17,52
"1.35257036820685,103.957257299848",Tampines East,7,51
"1.34723955510922,103.941637495623",Tampines West,12,46
"1.35430306838396,103.93590010205",Tampines,25,51
"1.34943571232065,103.94073476034",Tampines West,10,44
"1.3501781901882,103.941193548918",Tampines,14,44
"1.33778337648439,103.852507455855",Braddell,43,36
"1.33008102222991,103.858354604112",Boon Keng,31,44
"1.33399297498361,103.879892742452",Mattar,10,41
"1.33950753135564,103.855914162743",Braddell,11,40
"1.33372865982665,103.879898473982",Mattar,10,41
"1.33093933675526,103.858181909317",Potong Pasir,33,44
"1.33291837032644,103.856763112528",Toa Payoh,24,37
"1.33432001132262,103.851714329027",Toa Payoh,17,29
"1.33919545395688,103.854450883864",Braddell,20,36
"1.34128334016832,103.844605484696",Braddell,25,27
"1.33781295353996,103.844331928876",Braddell,14,30
"1.34047287241805,103.846142516335",Braddell,37,25
"1.34063140668544,103.844305221987",Braddell,16,27
"1.34002063627855,103.845413792089",Braddell,19,27
"1.3423823110644,103.845598140612",Braddell,26,32
"1.34123820692527,103.846389510905",Braddell,14,24
"1.33146601004937,103.84505463634",Toa Payoh,19,28
"1.33442373227683,103.868696835165",Potong Pasir,17,36
"1.3318007826539,103.867242849282",Potong Pasir,13,33
"1.34261673404284,103.856454868244",Braddell,14,47
"1.34100493622927,103.85441254396",Braddell,11,41
"1.34148414007449,103.849067723667",Braddell,23,28
"1.34189361849197,103.845207805828",Braddell,13,34
"1.33585385483747,103.87893270615",Bartley,12,43
"1.33027755381767,103.842448866938",Toa Payoh,4,34
"1.33106276500964,103.855267007861",Toa Payoh,14,40
"1.33262019907368,103.86551350588",Potong Pasir,7,36
"1.33626821074683,103.858315234224",Toa Payoh,10,41
"1.33068534910935,103.842659017362",Toa Payoh,17,33
"1.33290761070926,103.866168849371",Potong Pasir,13,36
"1.3344748817381,103.866286542639",Potong Pasir,6,40
"1.33980523961553,103.846281196306",Braddell,21,27
"1.33464084384827,103.849165514713",Toa Payoh,28,27
"1.33723344302177,103.858841063408",Potong Pasir,20,43
"1.3316593734688,103.857761545923",Toa Payoh,1,43
"1.33632813877246,103.850756428954",Toa Payoh,20,33
"1.3332878303261,103.846165629616",Toa Payoh,16,24
"1.44189730082889,103.774373791954",Marsiling,21,68
"1.44315121142693,103.775164777049",Marsiling,28,72
"1.43993828758599,103.776694750398",Marsiling,39,65
"1.44207297644105,103.776353990531",Marsiling,39,67
"1.44640891217967,103.772202483941",Marsiling,12,73
"1.44298595480646,103.772342694658",Marsiling,15,68
"1.44051412860781,103.778621611934",Woodlands,14,64
"1.44191492526921,103.778157094017",Woodlands,14,65
"1.43611788840055,103.774084353729",Marsiling,18,55
"1.43598268540185,103.781932747463",Woodlands,19,59
"1.44355825410306,103.772015392214",Marsiling,19,68
"1.43348537327986,103.801180391147",Woodlands,34,58
"1.44314929042286,103.79305512541",Woodlands,24,61
"1.4419400958206,103.772053205058",Marsiling,15,67
"1.44288020200672,103.798887777863",Woodlands,26,53
"1.44751212351612,103.800282171983",Woodlands,14,59
"1.44343770450452,103.792255388168",Woodlands,25,62
"1.44253330206837,103.797706231324",Woodlands,17,54
"1.4327294591592,103.794777358439",Woodlands,20,58
"1.44334742731535,103.798291752455",Woodlands,15,53
"1.42728730939008,103.774859398322",Marsiling,17,62
"1.42729507942919,103.772494639198",Marsiling,11,62
"1.43807796920962,103.802386575624",Woodlands,11,51
"1.43188553711066,103.779323207159",Marsiling,14,58
"1.44682318326801,103.796542079788",Woodlands,14,59
"1.44456206395179,103.800811558558",Woodlands,10,52
"1.44449167947734,103.791966942875",Woodlands,9,63
"1.43045857968039,103.77616959046",Marsiling,12,56
"1.43671737829561,103.803192512642",Woodlands,17,53
"1.44005837096467,103.797369389704",Woodlands,8,54
"1.43576274995203,103.77402996229",Marsiling,19,55
"1.42955731375385,103.794807794419",Woodlands,17,53
"1.44708104147411,103.800563797362",Woodlands,14,56
"1.43148927213394,103.792558417494",Woodlands,15,58
"1.43768527413858,103.801563711108",Woodlands,5,50
"1.4306118648092,103.791674137477",Woodlands,7,55
"1.43607371173984,103.791488541391",Woodlands,20,57
"1.44023981392028,103.797932567952",Woodlands,15,55
"1.44188538567396,103.807161950468",Sembawang,22,57
"1.44257449085255,103.803594082133",Sembawang,14,51
"1.43228225812656,103.786714412457",Woodlands,11,57
"1.43160689427922,103.789608911068",Woodlands,42,60
"1.44192156825663,103.800135491076",Woodlands,7,48
"1.44263056953759,103.806312715296",Sembawang,41,56
"1.44416134930045,103.807998180594",Sembawang,30,58
"1.43113014779339,103.791950469294",Woodlands,16,56
"1.43563853621561,103.790326073447",Woodlands,14,58
"1.44108596725738,103.778120234676",Woodlands,43,65
"1.43775226684572,103.777275768219",Marsiling,18,62
"1.44129152941254,103.776449738052",Marsiling,15,66
"1.44080567418718,103.777318569996",Marsiling,12,64
"1.44641912494034,103.801027490309",Woodlands,28,55
"1.44346858175011,103.807033335539",Sembawang,22,57
"1.44168227966341,103.78598469604",Woodlands,11,59
"1.4448677578465,103.801173705124",Woodlands,33,56
"1.44298235333791,103.807978941276",Sembawang,24,59
"1.44180897954114,103.806372444994",Sembawang,24,58
"1.4442579867912,103.790930441498",Woodlands,14,64
"1.44697084540303,103.771713364181",Marsiling,11,73
"1.44529965098561,103.793269747402",Woodlands,7,62
"1.44392522478237,103.793219046325",Woodlands,8,61
"1.43905964105019,103.798774829516",Woodlands,20,51
"1.43408170813881,103.796662417315",Woodlands,16,59
"1.44058061315975,103.796236000002",Woodlands,18,54
"1.4329824226314,103.79106326286",Woodlands,16,61
"1.43646755646399,103.793072616108",Woodlands,24,60
"1.43458853077239,103.791962661857",Woodlands,19,59
"1.4432815186216,103.807293791116",Sembawang,15,57
"1.42989255980863,103.773853927578",Marsiling,8,55
"1.42774541328112,103.795127473119",Woodlands,21,50
"1.43995508428159,103.795048909553",Woodlands,11,55
"1.43289614274331,103.79276813435",Woodlands,18,62
"1.44100430753825,103.807223345894",Sembawang,29,57
"1.43669060313023,103.798557890119",Woodlands,14,52
"1.44204928734016,103.798789070341",Woodlands,16,51
"1.43918808232966,103.800067933684",Woodlands,14,48
"1.44451092377357,103.798832170996",Woodlands,10,53
"1.43330296861783,103.791309000213",Woodlands,7,60
"1.43464080601813,103.777670022616",Marsiling,16,58
"1.42773187485332,103.793625057871",Woodlands,15,52
"1.43371600015319,103.793326209161",Woodlands,23,61
"1.43350424248721,103.786496080056",Woodlands,12,56
"1.42941559914897,103.795399901185",Woodlands,20,54
"1.44371257220742,103.801227602931",Woodlands,20,58
"1.43151114650567,103.774428431771",Marsiling,9,53
"1.44228123978512,103.78691557368",Woodlands,16,60
"1.43745488294257,103.778927259843",Marsiling,19,63
"1.42999456166439,103.772261359583",Marsiling,12,59
"1.44007817169826,103.79107573281",Woodlands,13,59
"1.4349975861895,103.831124805626",Yishun,21,50
"1.43076164851345,103.830480899054",Yishun,14,47
"1.42106180523936,103.838806521089",Khatib,7,49
"1.43198319567796,103.830253382367",Yishun,24,46
"1.42847591927493,103.844070961331",Yishun,24,55
"1.43494883445469,103.83815958338",Yishun,8,50
"1.42821779793313,103.827761264778",Yishun,29,49
"1.42887285940935,103.848162614171",Yishun,17,55
"1.41405289107273,103.835887621905",Khatib,2,48
"1.42305346445824,103.840410313172",Yishun,8,52
"1.41839680437318,103.837739340409",Khatib,16,44
"1.43416807984448,103.838998943947",Yishun,7,50
"1.43096941749525,103.833648678573",Yishun,13,42
"1.43232355080911,103.829071971177",Yishun,35,48
"1.43616298065236,103.839111126816",Yishun,21,52
"1.41954104417627,103.835614153962",Khatib,11,43
"1.42886692085513,103.828909001953",Yishun,27,49
"1.43413792566359,103.827020312888",Yishun,48,53
"1.41454077208263,103.833346442271",Khatib,14,48
"1.4307163489422,103.835798176096",Yishun,16,40
"1.43026863874417,103.840067166013",Yishun,17,47
"1.43331614582593,103.836150284922",Yishun,13,48
"1.43102233778042,103.837623233094",Yishun,18,50
"1.43010019275338,103.833117595994",Yishun,21,43
"1.42892003886143,103.833476161421",Yishun,14,40
"1.42931275823258,103.833492175164",Yishun,18,40
"1.41853885481022,103.831763323404",Khatib,14,40
"1.4310017618816,103.83246849055",Yishun,16,43
"1.42956999096502,103.848020471141",Yishun,19,52
"1.42590713071346,103.848169909408",Yishun,20,55
"1.42189632148765,103.839487410583",Khatib,19,54
"1.42921279276692,103.848403863548",Yishun,25,52
"1.43030125625917,103.842618159616",Yishun,23,51
"1.43524068670504,103.841852407535",Yishun,17,54
"1.44052449307012,103.839005531098",Yishun,28,60
"1.4236387330377,103.832580045903",Khatib,20,50
"1.4192307037507,103.838982110985",Khatib,12,46
"1.42624600707611,103.833233454885",Yishun,21,45
"1.43321263970177,103.828617498413",Yishun,29,50
"1.42916343658276,103.8470114507",Yishun,21,50
"1.42568741187326,103.834007618825",Yishun,21,46
"1.4258251511117,103.8325140721",Yishun,19,46
"1.42703376622136,103.847088611879",Yishun,4,56
"1.41450211129727,103.835974001874",Khatib,12,48
"1.43237650422142,103.840587727638",Yishun,9,48
"1.41801913333461,103.837784321062",Khatib,23,44
"1.4227963298673,103.839834894209",Yishun,15,53
"1.42040416166361,103.845538830732",Khatib,26,52
"1.41581799576772,103.833983073451",Khatib,13,47
"1.41991034065013,103.845554822212",Khatib,49,52
"1.43539224579712,103.835500981499",Yishun,20,49
"1.42395988584135,103.832607406437",Yishun,15,48
"1.42926455279295,103.831074825531",Yishun,31,44
"1.42303228780101,103.84515982739",Yishun,27,55
"1.41770409927839,103.837005089412",Khatib,21,43
"1.41331790928069,103.834143924976",Khatib,9,47
"1.42255934806557,103.833944059873",Khatib,22,45
"1.42898064926516,103.846473489722",Yishun,13,50
"1.43407128728567,103.837079158243",Yishun,14,49
"1.41537030654282,103.836073515403",Khatib,10,50
"1.42590766387746,103.845994782831",Yishun,8,52
"1.42602952702202,103.834266086838",Yishun,11,46
"1.41970956748498,103.833448229097",Khatib,14,45
"1.43086656800412,103.839425861369",Yishun,14,49
"1.43578412134202,103.835379025187",Yishun,14,49
"1.42140901096648,103.833970980379",Khatib,10,42
"1.42133515867973,103.837436986724",Khatib,23,47
"1.42607011749044,103.849303010046",Yishun,11,56
"1.41978323945218,103.840574022602",Khatib,8,51
"1.37400071781295,103.83643153142",Yio Chu Kang,23,40
"1.37509746867904,103.83761896123",Yio Chu Kang,20,42
"1.36622707120636,103.850085858983",Ang Mo Kio,28,34
"1.37355179225548,103.838168952258",Yio Chu Kang,5,41
"1.37089437302087,103.84471400677",Ang Mo Kio,16,39
"1.37549519574964,103.839947470774",Yio Chu Kang,23,46
"1.3795572819161,103.840735651035",Yio Chu Kang,31,38
"1.37392238703482,103.855621370524",Ang Mo Kio,15,42
"1.37458255258876,103.853049125302",Ang Mo Kio,23,40
"1.38302875418539,103.840669101591",Yio Chu Kang,20,38
"1.37138400081003,103.837381409794",Ang Mo Kio,16,41
"1.37572474108554,103.849934308508",Ang Mo Kio,12,38
"1.3645417089084,103.855103690549",Ang Mo Kio,13,40
"1.36604388871674,103.855368968681",Ang Mo Kio,25,39
"1.37099810674697,103.857856391877",Ang Mo Kio,24,41
"1.36716071992678,103.858658520644",Ang Mo Kio,25,44
"1.37733908523477,103.836472445051",Yio Chu Kang,16,48
"1.36915358068729,103.851746834886",Ang Mo Kio,20,31
"1.36709586875167,103.84966230288",Ang Mo Kio,27,34
"1.37420951743562,103.858209667888",Ang Mo Kio,22,43
"1.37583827139652,103.838123054825",Yio Chu Kang,22,45
"1.37890791374409,103.838602654716",Yio Chu Kang,22,48
"1.37356775015905,103.850154125155",Ang Mo Kio,13,35
"1.3729419359545,103.852866402032",Ang Mo Kio,23,37
"1.36987214145166,103.858003534994",Ang Mo Kio,12,41
"1.38003436037009,103.843606664405",Yio Chu Kang,8,34
"1.36371827871035,103.850980294912",Ang Mo Kio,8,39
"1.37081634607727,103.836983967207",Ang Mo Kio,12,46
"1.36320996798464,103.850690597254",Ang Mo Kio,13,39
"1.36339526691913,103.855273018614",Ang Mo Kio,7,41
"1.38115265431721,103.843310287802",Yio Chu Kang,13,33
"1.36706933818888,103.847902498352",Ang Mo Kio,12,35
"1.36997128892861,103.846076487359",Ang Mo Kio,16,35
"1.36464706979458,103.844250019479",Ang Mo Kio,36,42
"1.382064341745,103.839741864292",Yio Chu Kang,11,41
"1.36637938294119,103.839482297653",Ang Mo Kio,8,50
"1.37823859353841,103.843719728887",Yio Chu Kang,28,38
"1.37392862005901,103.858665713793",Ang Mo Kio,19,44
"1.38183547752751,103.841369094655",Yio Chu Kang,5,38
"1.3694605445784,103.834659046016",Ang Mo Kio,10,45
"1.37109649780946,103.84623152448",Ang Mo Kio,13,37
"1.37598486077444,103.848860479053",Ang Mo Kio,20,38
"1.37193571932413,103.85014325987",Ang Mo Kio,29,33
"1.37796930547009,103.839217148059",Yio Chu Kang,11,43
"1.33445895034228,103.937087136194",Bedok Reservoir,11,48
"1.33270278688381,103.923456730636",Bedok North,29,44
"1.331245062192,103.931244293846",Bedok Reservoir,35,39
"1.32723388955932,103.922217484759",Bedok,21,42
"1.33233655577229,103.930496816187",Bedok Reservoir,8,44
"1.32591889491418,103.919756859417",Kembangan,6,40
"1.33401866685175,103.912238854136",Kaki Bukit,3,39
"1.33148387479968,103.932465913287",Bedok Reservoir,31,40
"1.3343559340081,103.939032711241",Bedok Reservoir,35,49
"1.33098173461878,103.933604621756",Bedok Reservoir,36,47
