LatLong,nearest MRT,Count,travel time to RP in minutes
"1.33210132151895,103.904953194958",Kaki Bukit,8,42
"1.31925982986372,103.945202877473",Tanah Merah,10,42
"1.33361429610515,103.942628254514",Tanah Merah,17,55
"1.3572844410824,103.839396679952",Marymount,39,45
"1.36345320627772,103.834214627275",Marymount,22,42
"1.34589493632505,103.847365252767",Bishan,16,33
"1.34800341123895,103.855395747158",Bishan,20,39
"1.34706752664279,103.848063665404",Bishan,19,32
"1.34912207972494,103.852880896047",Bishan,13,34
"1.34886345078255,103.855225779214",Bishan,22,40
"1.34675059587742,103.847990168368",Bishan,19,33
"1.34794675925829,103.848613166647",Bishan,23,32
"1.35961376765045,103.842187438495",Bishan,16,43
"1.35673539047075,103.843519752733",Bishan,56,38
"1.35751182538506,103.848303497686",Bishan,12,38
"1.35020582481902,103.853049203745",Bishan,13,34
"1.35840616993705,103.831431580561",Marymount,14,42
"1.36276886630643,103.832758890176",Marymount,15,38
"1.34608831988483,103.850466820468",Bishan,16,35
"1.34976942860988,103.83847650474",Marymount,10,42
"1.35728007993069,103.845850930421",Bishan,18,36
"1.34541104764477,103.852079804354",Bishan,12,39
"1.36258323081948,103.748574945077",Bukit Gombak,1,49
"1.35618199232172,103.751093390961",Bukit Gombak,7,48
"1.34997305498668,103.743724852615",Bukit Batok,10,52
"1.35665146828264,103.751091825657",Bukit Gombak,19,49
"1.35511516448647,103.750877888291",Bukit Gombak,20,49
"1.34681845451426,103.752496875347",Bukit Batok,15,46
"1.34720729813155,103.754999726682",Bukit Batok,26,49
"1.34848352110457,103.756300449103",Bukit Batok,33,52
"1.35106126001126,103.745857351625",Bukit Batok,31,45
"1.34719281119437,103.752217334445",Bukit Batok,26,46
"1.362471403915,103.750561080651",Bukit Gombak,17,50
"1.34873337819665,103.753174278473",Bukit Batok,9,44
"1.34992721242157,103.75698028632",Bukit Batok,19,53
"1.34660733553492,103.740909286964",Bukit Batok,13,53
"1.34773558349504,103.743984048754",Bukit Batok,4,48
"1.35091259231107,103.759021061327",Bukit Batok,21,54
"1.36106704830424,103.750625432011",Bukit Gombak,16,45
"1.34673392184416,103.754727840299",Bukit Batok,19,49
"1.3460546058333,103.742605870907",Bukit Batok,7,51
"1.3500084019244,103.759862833782",Bukit Batok,20,56
"1.35159086987043,103.74450960649",Bukit Batok,15,49
"1.35676942740178,103.748774260571",Bukit Gombak,10,45
"1.34417029336796,103.75943138784",Bukit Batok,14,53
"1.34918269764742,103.757239164878",Bukit Batok,22,52
"1.35025884075015,103.756604724025",Bukit Batok,18,53
"1.34441150327745,103.757461503148",Bukit Batok,11,55
"1.36631689866947,103.752287629198",Bukit Gombak,36,51
"1.34900647921178,103.751706683374",Bukit Batok,4,40
"1.34708158497581,103.744923972487",Bukit Batok,5,47
"1.3482223088624,103.74718849849",Bukit Batok,10,42
"1.34548008232168,103.74995609585",Bukit Batok,26,46
"1.36399534082987,103.752720364689",Bukit Gombak,18,47
"1.36642311199961,103.752688625262",Bukit Gombak,26,51
"1.3453856199951,103.746045480153",Bukit Batok,16,47
"1.34667192110032,103.749383475192",Bukit Batok,16,43
"1.34601881591283,103.750352435245",Bukit Batok,12,44
"1.36585374932576,103.752728543207",Bukit Gombak,44,50
"1.34713047021841,103.749872835706",Bukit Batok,7,42
"1.34600894344315,103.744423616373",Bukit Batok,10,49
"1.35134146122049,103.749508645854",Bukit Batok,4,42
"1.34326273087543,103.756531451656",Bukit Batok,17,53
"1.35044171803071,103.743212010475",Bukit Batok,20,52
"1.3510594273469,103.747712277505",Bukit Batok,16,43
"1.34448980917027,103.760517162484",Bukit Batok,17,55
"1.28745837020188,103.832675765986",Tiong Bahru,6,25
"1.28728822015938,103.831873006286",Tiong Bahru,13,23
"1.27175707090153,103.809560438327",Telok Blangah,38,31
"1.28830079095393,103.827180352264",Tiong Bahru,12,21
"1.27691594809877,103.821818722889",Tiong Bahru,24,33
"1.2880016960752,103.831614592325",Tiong Bahru,13,23
"1.27313105297407,103.821662863346",HarbourFront,18,41
"1.27436196353296,103.822184004574",HarbourFront,28,37
"1.27700823497374,103.828056201882",Tiong Bahru,19,31
"1.2801894226101,103.828178445611",Tiong Bahru,13,25
"1.28766976882827,103.828202949008",Tiong Bahru,14,19
"1.27483128753685,103.810941368851",Telok Blangah,10,37
"1.27570500784019,103.812007084346",Telok Blangah,24,38
"1.28512215258239,103.821606935412",Tiong Bahru,9,28
"1.27129597566763,103.810507576844",Telok Blangah,38,32
"1.28852535171166,103.828458597142",Tiong Bahru,18,23
"1.29129374515873,103.827476436671",Tiong Bahru,16,28
"1.27396036035569,103.812149525435",Telok Blangah,17,36
"1.28458712798457,103.824360319186",Tiong Bahru,28,27
"1.2864588189976,103.804200246716",Queenstown,4,40
"1.27349435644809,103.807229362471",Telok Blangah,54,37
"1.28407984956888,103.830525506982",Tiong Bahru,7,22
"1.28420581657007,103.831063385283",Tiong Bahru,3,22
"1.28930893190551,103.829233342268",Tiong Bahru,39,24
"1.29071799751539,103.821625207737",Redhill,10,27
"1.27608072351135,103.820839521286",HarbourFront,11,38
"1.28942452424589,103.822305493842",Tiong Bahru,7,52
"1.27535201369639,103.826950180582",Tiong Bahru,21,40
"1.27337413706546,103.825328120716",HarbourFront,17,39
"1.28115303287131,103.828856188849",Tiong Bahru,19,24
"1.28064950442563,103.810750913525",Telok Blangah,13,41
"1.28863365915922,103.809643901495",Redhill,19,30
"1.29169833480355,103.827334523132",Tiong Bahru,10,30
"1.27881990735879,103.827723714738",Tiong Bahru,11,29
"1.27368173970143,103.806579408022",Labrador Park,58,38
"1.2822186913861,103.824536254761",Tiong Bahru,42,22
"1.28805315705423,103.815277070461",Redhill,30,19
"1.28838106670584,103.817391094217",Redhill,39,19
"1.29013858517146,103.828453293371",Tiong Bahru,41,27
