Name,Longitude,Latitude
South View Primary School,103.7462758,1.381666644
Springdale Primary School,103.8899262,1.394670103
Stamford Primary School,103.8574535,1.303456385
St. Andrew's Junior School,103.8651171,1.331402553
St. Anthony's Canossian Primary School,103.9412349,1.334725373
St. Anthony's Primary School,103.7492519,1.364119485
St. Gabriel's Primary School,103.862561,1.349471927
St. Hilda's Primary School,103.9379205,1.349349944
St. Joseph's Institution Junior,103.8456333,1.317814761
St. Margaret's Primary School,103.8461925,1.303758927
St. Stephen's School,103.9172581,1.318789973
Tampines North Primary School,103.9487689,1.36048786
Tampines Primary School,103.9487689,1.36048786
Tanjong Katong Primary School,103.9,1.30498489
Tao Nan School,103.9115532,1.305285287
Teck Ghee Primary School,103.8509571,1.365587821
Teck Whye Primary School,103.7539246,1.383886605
Telok Kurau Primary School,103.910934,1.331045854
Temasek Primary School,103.9455907,1.317706776
Townsville Primary School,103.853826,1.360032637
Unity Primary School,103.7468226,1.402854819
Valour Primary School,103.8990781,1.406835702
Waterway Primary School,103.9186216,1.398828006
Wellington Primary School,103.8223037,1.451920192
West Grove Primary School,103.6992864,1.344879056
West Spring Primary School,103.7661957,1.389441459
Westwood Primary School,103.7005342,1.347184566
West View Primary School,103.7602404,1.38367582
White Sands Primary School,103.9609189,1.365557147
Woodgrove Primary School,103.7906044,1.433103402
Woodlands Primary School,103.7974357,1.434952293
Woodlands Ring Primary School,103.7974357,1.434952293
Xinghua Primary School,103.8904729,1.357908936
Xingnan Primary School,103.6875885,1.342706397
Xinmin Primary School,103.8830808,1.371395489
Xishan Primary School,103.8377553,1.433471869
Yangzheng Primary School,103.8685955,1.348645758
Yew Tee Primary School,103.750986,1.396766009
Yio Chu Kang Primary School,103.8856437,1.377932643
Yishun Primary School,103.8340871,1.43338603
Yu Neng Primary School,103.9321449,1.333889303
Yuhua Primary School,103.7411058,1.342802305
Yumin Primary School,103.9505511,1.351315699
Zhangde Primary School,103.8259519,1.284211533
Zhenghua Primary School,103.7693135,1.379548875
Zhonghua Primary School,103.8697125,1.360260725
Admiralty Secondary School,103.8023982,1.445890689
